brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,39,90,35,91,4.4,(5)
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,219,90,31,41,4.4,(613)
FILA,Tênis Fila Masculino Esportivo Extra Treino Confortável,319,90,275,11,,
OLYMPIKUS,Olympikus Zex Masculino Adultos,229,99,182,99,4.7,(114)
,Kit Tenis Masculino Academia + Relógio Digital Led + Meia,149,90,114,71,4.4,(478)
FILA,Tênis Fila Ride Unissex Original ,329,99,234,29,,
OLIMPAK,Tênis Esportivo Masculino Olimpak Para Caminhada Academia,106,10,100,79,4.4,(3181)
NEW BALANCE,Tênis New Balance Fresh Foam Arishi V4 Masculino,499,90,389,50,,
PUMA,Tênis De Corrida Magnify Nitro 2 Masculino Puma Tênis De Cor,999,90,99,99,,
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,90,74,95,4.6,(825)
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,183,38,157,30,4.8,(389)
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,749,44,74,94,4.8,(5)
FILA,Tênis Running Masculino Recovery Fila Original Prata,379,99,334,39,5.0,(4)
BF SHOES,Tênis Branco Lançamento Original Confortável,99,88,75,90,4.6,(7125)
MIZUNO,Tênis Mizuno Goya Masculino,349,90,290,41,,
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,69,99,4.5,(1518)
OLYMPIKUS,Tênis Olympikus Proof 3 Masculino Azul Escuro Original,222,22,166,66,4.9,(90)
OLYMPIKUS,Tênis Olympikus Marte Corrida Caminhada Confortável Unissex,209,90,180,51,5.0,(2)
MIZUNO,Tênis Mizuno Wave Mirai 6 - Masculino Original,531,14,499,39,,
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,79,11,4.4,(457)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,69,90,46,55,4.7,(83)
OLYMPIKUS,Tenis Masculino Olympikus Proof ,247,85,188,36,4.8,(246)
VIA LIVRE,Tênis Masculino Corrida Advanced Aero Academia Leve Macio,149,90,79,44,,
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,129,90,106,51,4.7,(102)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino Branco,359,90,35,99,4.0,(1)
MIZUNO,Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida,639,90,467,12,,
BF SHOES,Tênis Para Academia Masculino Caminhada Esportivo Bf Shoes,89,90,64,60,4.7,(6)
MIZUNO,Kit Tênis Mizuno Masculino Wave Legend 2 + Meia Cano Médio,589,90,477,81,,
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,264,82,208,05,4.7,(552)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(72)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9443)
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,1.149,99,114,,,
VIA LIVRE,Tênis Masculino Advanced Running Ultra Leve Macio Academia,131,90,117,39,5.0,(1)
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,264,82,208,05,4.7,(552)
MIZUNO,Tênis Running Masculino Mizuno Prophecy 13 Branco,2.223,34,222,,,
FILA,Tênis Fila Racer Gripper Unissex Original ,329,99,237,59,,
NEW BALANCE,Tênis Esportivo Corrida Super Leve New Balance Coleção Nova,399,99,38,78,,
OLIMPAK,Tênis Masculino Olimpak Para Academia Caminhada Original,109,29,98,36,4.5,(2211)
DM DAMANDO,Combo Tenis Masculino Espotivo Running Academia + Relógio,78,90,70,30,4.5,(25)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(657)
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,119,90,113,90,4.4,(296)
HAYMAX,Tênis Skatista Masculino Feminino Old School Envio Imediato,99,99,89,99,4.5,(772)
MIZUNO,Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida,639,90,460,72,,
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(3)
MIZUNO,Tênis Mizuno Advance Rsp Corrida,666,56,66,66,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Para Academia E Caminhada Levíssimo,179,90,149,31,,
ASCENSION,Tênis Esportivo Exercícios Conforto E Estilo,129,54,12,,,
MIZUNO,Tênis Mizuno Victory Rsp Masculino Corrida,555,44,55,54,,
LORENZZO LOPEZ,Tênis Masculino Esportivo Caminhada E Academia Leve,109,90,36,63,,
,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,69,90,6,79,4.5,(255)
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,109,90,36,63,4.5,(142)
ASCENSION,Tênis Esportivo Sola Macia P/ Exercícios Tecido Confortável,129,90,12,63,,
OLDSEN,Tenis Masculino Lançamento Original Confortavel Tecido 38-45,78,95,75,29,4.3,(499)
FILA,Fila Recovery Masculino Adultos,407,90,265,05,4.7,(2068)
MIZUNO,Tênis Masculino Mizuno Wave Endeavor Corrida Performance,749,90,547,42,,
